ID Producto,PRODUCTO,Unidad,Grupo,Stock Min.,,,,
CANAL-1,"ABRAZADERA 3/4"" Ǿ P1112",UND,CANALIZAC,5,,,,
CANAL-2,"ARANDELA INOXIDABLE F953C DE PRES. 3/8""",UND,CANALIZAC,5,,,,
CANAL-3,"ARANDELA INOXIDABLE F953C PLANA 3/8""",UND,CANALIZAC,5,,,,
CANAL-4,"PERNO EXPANSION INOX. 3/8""X2""",UND,CANALIZAC,5,,,,
CANAL-5,"PERNO INOXIDABLE F953C 3/8"" X 1 1/2""-16",UND,CANALIZAC,5,,,,
CANAL-6,"PLATINA METÁLICA 2""X2-1/2""X3/8"" ESP 13mm",UND,CANALIZAC,5,,,,
CANAL-7,"RIEL ACANALADO, A.GALV, 41.3X41.3X2.7mm",M,CANALIZAC,5,,,,
CANAL-8,"TUERCA INOXIDABLE F953C PARA 3/8""",UND,CANALIZAC,5,,,,
CX-1,"TERMINAL TUBULAR T/OJAL SIMPLE, 70mm2",UND,CONEX,5,,,,
PAT-1,CAPSULA DE SOLDADURA EXOTERMICA N° 250,UND,PAT,5,,,,
PAT-2,CAPSULA DE SOLDADURA EXOTERMICA N° 150,UND,PAT,5,,,,
PAT-3,CAPSULA DE SOLDADURA EXOTERMICA N° 90,UND,PAT,5,,,,
PAT-4,MOLDE EXOTERMICO GRAFITO 4/0AWG-4/0AWG,UND,PAT,5,,,,
PAT-5,"MOLDE EXOTERMICO GRAFITO T/CRUZ,4/0AWG",UND,PAT,5,,,,
PAT-6,MOLDE EXOTERMICO GRAFITO 4/0AWG-2/0AWG,UND,PAT,5,,,,
PAT-7,"VARILLA PUESTA A TIERRA Cu 3/4""X2.40m",UND,PAT,5,,,,
PAT-8,"CAJA DE REGISTRO,400X400X300mm,145kg/cm2",UND,PAT,5,,,,
PAT-9,"TUBO CONDUIT DE PVC, SCH 80, 3/4""X3m",UND,PAT,5,,,,
PAT-10,"CINTA LIMIT.ENTERRADA AMARILLO 6""X500m",ROL,PAT,5,,,,
PAT-11,"CEMENTO CONDUCTIVO, DE 25.00kg",BAG,PAT,5,,,,
PAT-12,"CINTA LIMIT. SEÑAL ROJO 5""X500m",ROL,PAT,5,,,,
PAT-13,CAPSULA DE SOLDADURA EXOTERMICA N° 115,UND,PAT,5,,,,
PAT-14,"MOLDE EXOTERMICO GRAFITO 4/0AWG-3/4""",UND,PAT,5,,,,
BD-1,"TUBO CONDUIT DE PVC, SCH 80, 2""X3m",UND,BD,5,,,,
BD-2,"TUBO CONDUIT DE PVC, SCH 80, 4""X3m",UND,BD,5,,,,
BD-3,"UNION PVC 2""SCH 80 EMPALME S/P",UND,BD,5,,,,
BD-4,"UNION PVC 4""SAP EMPALME SP",UND,BD,5,,,,
BD-5,"UNION PVC 6""SCH 80 EMPALME S/P",UND,BD,5,,,,
BD-6,"TUBO CONDUIT DE PVC, SCH 80, 6""X3m",UND,BD,5,,,,
BD-7,"ADAPTADOR PVC 2""SCH 80 EMBONE",UND,BD,5,,,1,2 mt
BD-8,"ADAPTADOR PVC 4""SCH 40 E-PRE Y R-INT",UND,BD,5,,,,
BD-9,"ADAPTADOR PVC 6"",SCH 80,EMP.PRES-ROSCA",UND,BD,5,,,,
BD-10,"CURVA COND PVC SCH80 P/CON EL 2""X90° E/L",UND,BD,5,,,,
BD-11,"CURVA COND PVC SCH40 P/CON EL 4""X90° E/L",UND,BD,5,,,,
BD-12,"CURVA CONDUIT PVC,SCH 80,6""x90°,EXT.LISO",UND,BD,5,,,,
BD-13,"ADAPTADOR T. CAMPANA PVC 2""SAP",UND,BD,5,,,,
BD-14,"ADAPTADOR T. CAMPANA PVC 4""SAP",UND,BD,5,,,,
BD-15,"ADAPTADOR T. CAMPANA PVC 6""SAP",UND,BD,5,,,,
BD-16,"CURVA COND PVC SCH40 P/CON EL 4""X45° E/L",UND,BD,5,,,,
BD-17,"CURVA CONDUIT PVC,SCH40,ELECT.6""X45°,E/L",UND,BD,5,,,,
BD-18,"CINTA LIMIT. SEÑAL AMARILLO 6""X500m",ROL,BD,5,,,,
